pp,trial1,hit1,response1,outcome1,outcometype1,condition1,trial2,hit2,response2,outcome2,outcometype2,condition2
2,95,1,1,1,1,3,95,1,1,-1,2,1
2,96,1,1,1,1,3,96,0,2,-1,2,1
2,97,1,1,-1,2,3,97,0,2,-1,2,1
2,98,1,1,1,1,3,98,0,2,-1,2,1
2,99,1,1,-1,2,1,99,1,1,1,1,1
2,100,1,1,1,1,1,100,1,1,1,1,1
2,101,0,2,-1,2,1,101,0,2,1,1,1
2,102,0,2,-1,2,1,102,0,2,1,1,1
2,103,0,2,-1,2,1,103,0,2,-1,2,1
2,104,0,2,-1,2,1,104,0,2,-1,2,1
2,105,0,2,-1,2,1,105,1,2,1,1,2
2,106,1,1,1,1,1,106,0,1,-1,2,2
2,107,0,2,-1,2,1,107,0,1,-1,2,2
2,108,0,2,-1,2,1,108,0,1,1,1,2
2,109,1,1,1,1,1,109,0,1,-1,2,2
2,110,1,1,1,1,1,110,0,1,-1,2,2
2,111,0,2,-1,2,1,111,1,2,-1,2,2
2,112,1,1,-1,2,1,112,NA,NA,NA,NA,2
2,113,0,2,1,1,1,113,0,1,-1,2,2
2,114,1,1,1,1,1,114,0,1,1,1,2
2,115,0,1,1,1,2,115,0,1,-1,2,2
2,116,1,2,1,1,2,116,0,1,-1,2,2
2,117,0,1,-1,2,2,117,1,2,1,1,2
2,118,1,2,1,1,2,118,1,2,1,1,2
2,119,0,1,-1,2,2,119,1,2,1,1,2
2,120,0,1,-1,2,2,120,0,1,-1,2,2
2,121,1,2,1,1,2,121,0,2,-1,2,1
2,122,0,1,1,1,2,122,1,1,1,1,1
2,123,1,2,1,1,2,123,0,2,-1,2,1
2,124,1,2,1,1,2,124,NA,NA,NA,NA,1
2,125,1,2,1,1,2,125,0,2,-1,2,1
2,126,0,1,1,1,2,126,1,1,1,1,1
2,127,1,2,1,1,2,127,0,2,1,1,1
2,128,1,2,-1,2,2,128,1,1,1,1,1
2,129,0,1,-1,2,2,129,0,2,-1,2,1
2,130,0,1,-1,2,2,130,1,1,1,1,1
2,131,0,2,-1,2,1,131,1,1,1,1,1
2,132,1,1,1,1,1,132,1,1,1,1,1
2,133,1,1,1,1,1,133,1,1,1,1,1
2,134,0,2,-1,2,1,134,0,2,1,1,1
2,135,1,1,1,1,1,135,0,2,-1,2,1
2,136,0,2,1,1,1,136,0,2,1,1,1
2,137,1,1,1,1,1,137,0,1,-1,2,3
2,138,1,1,1,1,1,138,0,1,1,1,3
2,139,0,2,-1,2,1,139,0,1,-1,2,3
2,140,0,2,1,1,1,140,1,2,-1,2,3
2,141,1,1,1,1,1,141,0,1,1,1,3
2,142,1,1,1,1,1,142,0,1,-1,2,3
